5/8/2017,Paradox Engine,Aether Revolt,AER,8.61,2.94,15.45,7.83
5/9/2017,Paradox Engine,Aether Revolt,AER,8.5,3.04,15,8.24
5/10/2017,Paradox Engine,Aether Revolt,AER,8.5,3.04,15,8.24
5/11/2017,Paradox Engine,Aether Revolt,AER,8.5,2.69,14.99,8.24
5/12/2017,Paradox Engine,Aether Revolt,AER,8.5,2.87,14.99,8.23
5/13/2017,Paradox Engine,Aether Revolt,AER,8.54,2.66,14.57,8.23
5/14/2017,Paradox Engine,Aether Revolt,AER,8.5,2.66,14.74,8.23
5/15/2017,Paradox Engine,Aether Revolt,AER,8.43,2.69,14.73,8.23
5/16/2017,Paradox Engine,Aether Revolt,AER,8.43,2.59,14.93,8.23
5/17/2017,Paradox Engine,Aether Revolt,AER,8.47,2.51,14.93,8.23
5/18/2017,Paradox Engine,Aether Revolt,AER,8.33,2.54,14.94,8.09
5/19/2017,Paradox Engine,Aether Revolt,AER,8.43,2.57,14.94,8.09
5/20/2017,Paradox Engine,Aether Revolt,AER,8.34,2.62,14.92,8.09
5/21/2017,Paradox Engine,Aether Revolt,AER,8.34,2.68,14.93,7.94
5/22/2017,Paradox Engine,Aether Revolt,AER,8.34,2.68,14.93,7.8
5/23/2017,Paradox Engine,Aether Revolt,AER,8.41,2.82,14.9,7.8
5/24/2017,Paradox Engine,Aether Revolt,AER,8.33,2.78,14.9,7.67
5/25/2017,Paradox Engine,Aether Revolt,AER,8.39,2.74,14.9,7.67
5/26/2017,Paradox Engine,Aether Revolt,AER,8.34,2.3,14.83,7.53
5/27/2017,Paradox Engine,Aether Revolt,AER,8.31,2.08,14.88,7.53
5/28/2017,Paradox Engine,Aether Revolt,AER,8.3,1.84,14.84,7.53
5/29/2017,Paradox Engine,Aether Revolt,AER,8.04,1.54,14.39,7.4
5/30/2017,Paradox Engine,Aether Revolt,AER,8,1.55,14.2,7.4
5/31/2017,Paradox Engine,Aether Revolt,AER,8,1.74,14.9,7.4
6/1/2017,Paradox Engine,Aether Revolt,AER,7.96,1.81,14.55,7.4
6/2/2017,Paradox Engine,Aether Revolt,AER,7.94,1.68,14.2,7.4
6/3/2017,Paradox Engine,Aether Revolt,AER,7.95,1.77,14.2,7.54
6/4/2017,Paradox Engine,Aether Revolt,AER,7.85,1.77,14.17,7.54
6/5/2017,Paradox Engine,Aether Revolt,AER,7.69,1.65,14.59,7.54
6/6/2017,Paradox Engine,Aether Revolt,AER,7.67,1.69,14.99,7.54
6/7/2017,Paradox Engine,Aether Revolt,AER,7.56,1.66,14.99,7.54
6/8/2017,Paradox Engine,Aether Revolt,AER,7.59,1.67,14.98,7.54
6/9/2017,Paradox Engine,Aether Revolt,AER,7.56,1.71,14.98,7.54
6/10/2017,Paradox Engine,Aether Revolt,AER,7.5,1.69,14.78,7.54
6/11/2017,Paradox Engine,Aether Revolt,AER,7.5,1.65,14.58,7.54
6/12/2017,Paradox Engine,Aether Revolt,AER,7.46,1.64,14.97,7.54
6/13/2017,Paradox Engine,Aether Revolt,AER,7.45,1.82,14.98,7.54
6/14/2017,Paradox Engine,Aether Revolt,AER,7.35,1.65,14.98,7.54
6/15/2017,Paradox Engine,Aether Revolt,AER,7.32,1.74,14.97,7.54
6/16/2017,Paradox Engine,Aether Revolt,AER,7.33,1.74,14.97,7.54
6/17/2017,Paradox Engine,Aether Revolt,AER,7.32,1.56,14.97,7.54
6/18/2017,Paradox Engine,Aether Revolt,AER,7.31,1.61,14.97,7.54
6/19/2017,Paradox Engine,Aether Revolt,AER,7.25,1.68,14.86,7.54
6/20/2017,Paradox Engine,Aether Revolt,AER,7.25,1.72,14.88,7.54
6/21/2017,Paradox Engine,Aether Revolt,AER,7.28,1.84,14.7,7.54
6/22/2017,Paradox Engine,Aether Revolt,AER,7.27,1.82,14.55,7.97
6/23/2017,Paradox Engine,Aether Revolt,AER,7.24,1.82,14.64,7.97
6/24/2017,Paradox Engine,Aether Revolt,AER,7.22,1.73,14.74,7.74
6/25/2017,Paradox Engine,Aether Revolt,AER,7.21,1.77,14.39,7.74
6/26/2017,Paradox Engine,Aether Revolt,AER,7.12,1.7,14.48,7.74
6/27/2017,Paradox Engine,Aether Revolt,AER,7.1,1.72,14.41,7.74
6/28/2017,Paradox Engine,Aether Revolt,AER,7.02,1.72,14.72,7.74
6/29/2017,Paradox Engine,Aether Revolt,AER,7.05,1.74,14.39,7.74
6/30/2017,Paradox Engine,Aether Revolt,AER,7,1.78,14.38,7.74
7/1/2017,Paradox Engine,Aether Revolt,AER,7,1.73,14.57,7.74
7/2/2017,Paradox Engine,Aether Revolt,AER,7,1.78,14.35,7.74
7/3/2017,Paradox Engine,Aether Revolt,AER,7,1.83,14.06,7.74
7/4/2017,Paradox Engine,Aether Revolt,AER,6.98,1.81,14.03,7.74
7/5/2017,Paradox Engine,Aether Revolt,AER,6.96,1.84,14.13,7.74
7/6/2017,Paradox Engine,Aether Revolt,AER,6.9,1.84,14.13,7.74
7/7/2017,Paradox Engine,Aether Revolt,AER,6.89,1.86,14.36,7.97
7/8/2017,Paradox Engine,Aether Revolt,AER,6.89,1.83,14.06,7.97
7/9/2017,Paradox Engine,Aether Revolt,AER,6.86,1.79,14.02,7.74
7/10/2017,Paradox Engine,Aether Revolt,AER,6.88,1.79,14.12,7.74
7/11/2017,Paradox Engine,Aether Revolt,AER,6.85,1.8,14.12,7.74
7/12/2017,Paradox Engine,Aether Revolt,AER,6.86,1.7,14.2,7.74
7/13/2017,Paradox Engine,Aether Revolt,AER,6.83,1.51,14.13,7.74
7/14/2017,Paradox Engine,Aether Revolt,AER,6.83,1.51,14.06,7.74
7/15/2017,Paradox Engine,Aether Revolt,AER,6.83,1.48,14.06,7.74
7/16/2017,Paradox Engine,Aether Revolt,AER,6.83,1.48,14.23,7.74
7/17/2017,Paradox Engine,Aether Revolt,AER,6.83,1.39,14.06,7.74
7/18/2017,Paradox Engine,Aether Revolt,AER,6.81,1.31,14.39,7.74
7/19/2017,Paradox Engine,Aether Revolt,AER,6.83,1.35,14.51,7.74
7/20/2017,Paradox Engine,Aether Revolt,AER,6.82,1.4,14.16,7.74
7/21/2017,Paradox Engine,Aether Revolt,AER,6.79,1.43,14.16,7.74
7/22/2017,Paradox Engine,Aether Revolt,AER,6.74,1.41,14.17,7.74
7/23/2017,Paradox Engine,Aether Revolt,AER,6.77,1.42,14.33,7.74
7/24/2017,Paradox Engine,Aether Revolt,AER,6.73,1.43,14.2,7.74
7/25/2017,Paradox Engine,Aether Revolt,AER,6.34,1.4,12.45,7.74
7/26/2017,Paradox Engine,Aether Revolt,AER,6.56,1.42,14.26,7.74
7/27/2017,Paradox Engine,Aether Revolt,AER,6.63,1.43,14.12,7.74
7/28/2017,Paradox Engine,Aether Revolt,AER,6.56,1.43,14.11,7.74
7/29/2017,Paradox Engine,Aether Revolt,AER,6.55,1.46,14.26,7.74
7/30/2017,Paradox Engine,Aether Revolt,AER,6.56,1.43,14.49,7.74
7/31/2017,Paradox Engine,Aether Revolt,AER,6.56,1.41,14.72,7.74
8/1/2017,Paradox Engine,Aether Revolt,AER,6.57,1.44,14.95,7.74
8/2/2017,Paradox Engine,Aether Revolt,AER,6.55,1.4,14.95,7.74
8/3/2017,Paradox Engine,Aether Revolt,AER,6.57,1.42,14.93,7.74
8/4/2017,Paradox Engine,Aether Revolt,AER,6.54,1.4,14.93,7.74
8/5/2017,Paradox Engine,Aether Revolt,AER,6.56,1.41,14.9,7.74
8/6/2017,Paradox Engine,Aether Revolt,AER,6.5,1.43,14.9,7.74
8/7/2017,Paradox Engine,Aether Revolt,AER,6.54,1.35,14.9,7.74
8/8/2017,Paradox Engine,Aether Revolt,AER,6.48,1.36,14.95,7.74
8/9/2017,Paradox Engine,Aether Revolt,AER,6.44,1.36,14.75,7.74
8/10/2017,Paradox Engine,Aether Revolt,AER,6.44,1.18,14.75,7.74
8/11/2017,Paradox Engine,Aether Revolt,AER,6.44,1.01,14.85,7.74
8/12/2017,Paradox Engine,Aether Revolt,AER,6.43,1.02,14.95,7.74
8/13/2017,Paradox Engine,Aether Revolt,AER,6.49,1.05,14.96,7.74
8/14/2017,Paradox Engine,Aether Revolt,AER,6.47,1.13,14.85,7.74
8/15/2017,Paradox Engine,Aether Revolt,AER,6.43,1.14,14.75,7.74
8/16/2017,Paradox Engine,Aether Revolt,AER,6.41,1.25,14.72,7.74
